10	100	0.0207262	.0618	0.00366433	.0626	0.0552079	.0879	mc-1
03	100	0.00183581	.0459	0.00314167	.0424	0.00264194	.0749	mc-1
01	100	0.00305396	.0441	0.0028722	.0416	0.000798427	.075	mc-1
07	100	0.00231871	.0649	0.0110316	.077	0.0102946	.0807	mc-1
09	100	5.09267e-05	.0351	0.000174366	.0344	0.000701348	.0584	mc-1
05	100	0.000478151	.041	0.000606983	.0402	0.0620177	.0673	mc-1
06	100	0.00209821	.0454	0.00248168	.0421	0.0247337	.0761	mc-1
04	100	0.0249781	.0403	0.0387664	.0488	0.061049	.0672	mc-1
02	100	0.0118558	.0421	0.00743457	.0427	0.0230246	.073	mc-1
08	100	0.00671091	.0469	0.00681651	.046	0.00755908	.0766	mc-1
06	500	0.00313831	.0182					mc-1
04	500	7.40851e-05	.0186					mc-1
05	500	0.00942511	.0184					mc-1
08	500	0.000779348	.0204					mc-1
09	500	3.93396e-06	.015					mc-1
01	500	5.10766e-06	.0198					mc-1
03	500	0.000200325	.0194					mc-1
02	500	1.14775e-05	.0193					mc-1
10	500	0.00130252	.0255			0.00300679	.0358	mc-1
07	500	0.000121002	.0319			0.010206	.0363	mc-1
06	100	0.0404604	.0662			0.00478114	.0947	mc-2
07	100	0.0149864	.0567			0.0158375	.0754	mc-2
02	100	0.0140693	.0703			0.0235412	.0885	mc-2
01	100	0.0017297	.0529			0.0865584	.0819	mc-2
08	100	0.00973714	.0658			0.0095169	.0841	mc-2
03	100	0.0206348	.0591	0.0885349	.0659	0.0487493	.083	mc-2
05	100	0.019882	.075	0.0353947	.0807	0.0254929	.0939	mc-2
09	100	0.000515351	.0471	0.00224761	.053	0.00149199	.0778	mc-2
04	100	0.00197971	.0523	0.010099	.0631	0.0167794	.0742	mc-2
10	100	0.00105675	.0637	0.042633	.0804	0.0124879	.0864	mc-2
01	500	0.00109916	.0239					mc-2
04	500	5.1345e-05	.0233					mc-2
10	500	0.00183251	.0318					mc-2
05	500	0.000300648	.0335			0.0152158	.037	mc-2
06	500	0.00132605	.0326			0.0134088	.0371	mc-2
07	500	8.73624e-05	.0263			0.0151632	.0313	mc-2
08	500	0.00023178	.0297			0.00887292	.0356	mc-2
09	500	0.000152883	.0213			0.00131301	.0326	mc-2
02	500	0.0100873	.0354			0.0143151	.0342	mc-2
03	500	0.0175977	.025			0.0265053	.0374	mc-2
03	100	0.000306536	.053			0.00178542	.057	100
02	100	0.0127809	.0616			0.0844878	.0613	100
01	100	9.80821e-05	.048	0.00199111	.0563	0.0125936	.0577	100
04	100	0.00264622	.0422	0.0129554	.058	0.00402707	.053	100
05	100	0.000491958	.0635			0.0148902	.0652	100
06	100	0.00372823	.0558			0.00937052	.0602	100
09	100	1.21204e-05	.0477			0.00299346	.0554	100
08	100	0.0094334	.0577	0.00905147	.073	0.000864882	.0618	100
07	100	0.0147448	.052	0.0188204	.0729	0.0148802	.0535	100
10	100	0.000582384	.0577	0.0100947	.0788	0.0470642	.0662	100
03	100	0.0895922	.0545			0.0266937	.0728	200
02	100	0.0228154	.0672			0.022831	.074	200
04	100	0.00160028	.047	0.00610819	.0622	0.00252624	.0723	200
01	100	0.00152365	.0494	0.000757911	.0635	0.0929453	.0697	200
05	100	0.00223993	.0631			0.0624267	.0718	200
06	100	0.0131236	.0616			0.0709335	.0823	200
08	100	0.011579	.0662			0.00425247	.0717	200
09	100	0.00015431	.0467			0.0155634	.0661	200
07	100	0.00445653	.0568	0.0209691	.0809	0.0154976	.0638	200
10	100	0.00213	.0603	0.0463328	.0849	0.0311234	.0789	200
01	100	0.000905576	.0569			0.00696435	.0786	300
04	100	0.0149973	.0487			0.0256821	.0752	300
03	100	0.094463	.0621			0.106544	.0838	300
02	100	0.112156	.0746			0.0477342	.0833	300
05	100	0.0281016	.0687			0.0231387	.0904	300
06	100	0.0214869	.0743			0.0542642	.092	300
08	100	0.00599561	.0712			0.0132924	.0814	300
07	100	0.0187053	.0586			0.016033	.0713	300
10	100	0.00960235	.0605			0.0215181	.0829	300
09	100	0.000385301	.0482			0.00207872	.0746	300
04	100	0.0207813	.0583			0.0121303	.0857	400
02	100	0.0585574	.0893			0.0455954	.0925	400
03	100	0.129966	.0747			0.154584	.0965	400
01	100	0.011638	.0636			0.14339	.0909	400
05	100	0.0615201	.0772			0.0873665	.0984	400
06	100	0.195419	.1107			0.154808	.1117	400
08	100	0.145638	.083			0.104983	.0912	400
07	100	0.0194237	.061			0.080539	.0836	400
09	100	0.00705033	.0574			0.0166083	.0823	400
10	100	0.0300251	.0717			0.0733172	.0943	400
04	100	0.139392	.1059			0.280609	.1128	500
01	100	0.315709	.1666			0.336892	.1269	500
03	100	0.644149	.4552			0.513405	.1345	500
02	100	0.360163	.1753			0.416427	.1276	500
05	100	0.451399	.2418			0.469353	.1498	500
08	100	0.631007	.4			0.427958	.1248	500
07	100	0.0297685	.0906			0.114279	.108	500
06	100	0.656349	.5682			0.622329	.1538	500
09	100	0.231755	.1516			0.321384	.1197	500
10	100	0.19478	.1261			0.228078	.124	500
